game_id,competition_id,competition_type,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,aggregate,home_club_position,away_club_position,club_home_name,club_away_name,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url
3889081,GR1,domestic_league,2022,14. Matchday,2022-12-21,2672,605,1,1,1:1,13,6,Apo Levadiakos,Aris Thessaloniki,Jasminko Velic,Alan Pardew,Stadio Livadias,669,Anastasios Papapetrou,https://www.transfermarkt.co.uk/apo-levadiakos_aris-thessaloniki/index/spielbericht/3889081
3889087,GR1,domestic_league,2022,15. Matchday,2022-12-28,60949,2441,0,4,0:4,6,2,Volos Nps,Aek Athen,Konstantinos Bratsos,Matías Almeyda,Panthessaliko Stadio,8600,Petros Tsagarakis,https://www.transfermarkt.co.uk/volos-nps_aek-athens/index/spielbericht/3889087
3889064,GR1,domestic_league,2022,12. Matchday,2022-11-09,2441,653,3,0,3:0,2,13,Aek Athen,Ofi Kreta,Matías Almeyda,Valdas Dambrauskas,OPAP Arena,29128,Aristomenis Koutsiavtis,https://www.transfermarkt.co.uk/aek-athens_ofi-crete-fc/index/spielbericht/3889064
3889090,GR1,domestic_league,2022,15. Matchday,2022-12-28,265,653,1,1,1:1,1,11,Panathinaikos Athen,Ofi Kreta,Ivan Jovanovic,Valdas Dambrauskas,Apostolos Nikolaidis,11713,Efstathios Gortsilas,https://www.transfermarkt.co.uk/panathinaikos-athens_ofi-crete-fc/index/spielbericht/3889090
3889082,GR1,domestic_league,2022,14. Matchday,2022-12-22,653,3060,0,1,0:1,10,7,Ofi Kreta,Atromitos Athen,Valdas Dambrauskas,Chris Coleman,Gipedo Theodoros Vardinogiannis,3115,Athanasios Tzilos,https://www.transfermarkt.co.uk/ofi-crete-fc_atromitos-athen/index/spielbericht/3889082
3889065,GR1,domestic_league,2022,12. Matchday,2022-11-08,605,3999,5,0,5:0,6,11,Aris Thessaloniki,Pas Lamia 1964,Alan Pardew,Gianluca Festa,"Gipedo ""Kleanthis Vikelidis""",4837,Anastasios Sidiropoulos,https://www.transfermarkt.co.uk/aris-thessaloniki_pas-lamia-1964/index/spielbericht/3889065
3889057,GR1,domestic_league,2022,11. Matchday,2022-11-06,6676,2441,1,1,1:1,9,2,Asteras Tripolis,Aek Athen,Iraklis Metaxas,Matías Almeyda,Gipedo Theodoros Kolokotronis,1120,Vasilios Fotias,https://www.transfermarkt.co.uk/asteras-tripolis_aek-athens/index/spielbericht/3889057
3889069,GR1,domestic_league,2022,12. Matchday,2022-11-09,2672,683,0,1,0:1,12,3,Apo Levadiakos,Olympiakos Piraus,Jasminko Velic,Michel,Stadio Livadias,3669,Ioannis Papadopoulos,https://www.transfermarkt.co.uk/apo-levadiakos_olympiacos-piraeus/index/spielbericht/3889069
3889155,GR1,domestic_league,2022,25. Matchday,2023-03-04,6676,3060,1,1,1:1,10,7,Asteras Tripolis,Atromitos Athen,Apostolos Mantzios,Chris Coleman,Gipedo Theodoros Kolokotronis,882,Konstantinos Tsetsilas,https://www.transfermarkt.co.uk/asteras-tripolis_atromitos-athen/index/spielbericht/3889155
3889060,GR1,domestic_league,2022,11. Matchday,2022-11-06,265,683,1,1,1:1,1,3,Panathinaikos Athen,Olympiakos Piraus,Ivan Jovanovic,Michel,Apostolos Nikolaidis,13907,Jakob Kehlet,https://www.transfermarkt.co.uk/panathinaikos-athens_olympiacos-piraeus/index/spielbericht/3889060
3889061,GR1,domestic_league,2022,11. Matchday,2022-11-06,6418,2672,0,0,0:0,7,12,Panetolikos Gfs,Apo Levadiakos,Giannis Anastasiou,Jasminko Velic,Gipedo Panetolikou,1821,Angelos Evangelou,https://www.transfermarkt.co.uk/panetolikos-gfs_apo-levadiakos/index/spielbericht/3889061
3889058,GR1,domestic_league,2022,11. Matchday,2022-11-05,3060,605,0,0,0:0,8,6,Atromitos Athen,Aris Thessaloniki,Chris Coleman,Alan Pardew,Stadio Peristeriou,2263,Spyros Zabalas,https://www.transfermarkt.co.uk/atromitos-athen_aris-thessaloniki/index/spielbericht/3889058
3889063,GR1,domestic_league,2022,11. Matchday,2022-11-05,3999,60949,2,2,2:2,10,4,Pas Lamia 1964,Volos Nps,Gianluca Festa,Konstantinos Bratsos,"Stadio Lamia ""Athanasios Diakos""",1267,Stavros Tsimenteridis,https://www.transfermarkt.co.uk/pas-lamia-1964_volos-nps/index/spielbericht/3889063
3889056,GR1,domestic_league,2022,10. Matchday,2022-10-31,2671,6676,2,1,2:1,10,9,Pas Giannina,Asteras Tripolis,Athanasios Staikos,Iraklis Metaxas,Stadio Zosimades,1330,Fotis Polychronis,https://www.transfermarkt.co.uk/pas-giannina_asteras-tripolis/index/spielbericht/3889056
3889050,GR1,domestic_league,2022,10. Matchday,2022-10-30,2441,1091,2,0,2:0,2,5,Aek Athen,Paok Thessaloniki,Matías Almeyda,Razvan Lucescu,OPAP Arena,31100,Daniel Stefanski,https://www.transfermarkt.co.uk/aek-athens_paok-thessaloniki/index/spielbericht/3889050
3889054,GR1,domestic_league,2022,10. Matchday,2022-10-30,2672,3060,2,1,2:1,13,8,Apo Levadiakos,Atromitos Athen,Jasminko Velic,Chris Coleman,Stadio Livadias,1073,Aristotelis Diamantopoulos,https://www.transfermarkt.co.uk/apo-levadiakos_atromitos-athen/index/spielbericht/3889054
3889068,GR1,domestic_league,2022,12. Matchday,2022-11-10,553,1091,0,3,0:3,14,5,Ionikos Nikeas,Paok Thessaloniki,Dimitrios Spanos,Razvan Lucescu,Dimotiko Gipedo Neapolis,1111,Petros Tsagarakis,https://www.transfermarkt.co.uk/ionikos-nikeas_paok-thessaloniki/index/spielbericht/3889068
3889085,GR1,domestic_league,2022,15. Matchday,2022-12-29,605,6418,1,0,1:0,5,8,Aris Thessaloniki,Panetolikos Gfs,Alan Pardew,Giannis Anastasiou,"Gipedo ""Kleanthis Vikelidis""",7440,Spyros Zabalas,https://www.transfermarkt.co.uk/aris-thessaloniki_panetolikos-gfs/index/spielbericht/3889085
3889070,GR1,domestic_league,2022,12. Matchday,2022-11-09,6418,265,0,1,0:1,8,1,Panetolikos Gfs,Panathinaikos Athen,Giannis Anastasiou,Ivan Jovanovic,Gipedo Panetolikou,3391,Christos Vergetis,https://www.transfermarkt.co.uk/panetolikos-gfs_panathinaikos-athens/index/spielbericht/3889070
