game_id,competition_id,competition_type,season,round,date,club id,club goals,opposite club id,opposite_club_goals,result,difference_goals
2532516,DK1,domestic_league,2014,29. Matchday,5/17/15,1177,0,206,2,loss,-2
2532519,DK1,domestic_league,2014,29. Matchday,5/17/15,5818,0,20100,1,loss,-1
2532515,DK1,domestic_league,2014,29. Matchday,5/15/15,1053,0,173,2,loss,-2
2532508,DK1,domestic_league,2014,28. Matchday,5/11/15,20100,0,190,1,loss,-1
2489361,GR1,domestic_league,2014,1. Matchday,8/24/14,1091,1,28956,1,tie,0
2532512,DK1,domestic_league,2014,28. Matchday,5/10/15,206,1,1053,1,tie,0
2532513,DK1,domestic_league,2014,28. Matchday,5/10/15,173,3,865,1,win,2
2532509,DK1,domestic_league,2014,28. Matchday,5/10/15,5818,2,5817,2,tie,0
2532511,DK1,domestic_league,2014,28. Matchday,5/9/15,3426,5,1177,2,win,3
2532510,DK1,domestic_league,2014,28. Matchday,5/8/15,5724,2,2778,0,win,2
2532504,DK1,domestic_league,2014,27. Matchday,5/4/15,865,5,5724,2,win,3
2532507,DK1,domestic_league,2014,27. Matchday,5/3/15,173,0,206,2,loss,-2
2532522,DK1,domestic_league,2014,30. Matchday,5/21/15,5724,0,5818,1,loss,-1
2532506,DK1,domestic_league,2014,27. Matchday,5/2/15,1177,2,5817,2,tie,0
2532503,DK1,domestic_league,2014,27. Matchday,5/3/15,190,2,3426,1,win,1
2532505,DK1,domestic_league,2014,27. Matchday,5/1/15,1053,5,5818,0,win,5
2532498,DK1,domestic_league,2014,26. Matchday,4/27/15,5818,0,865,0,tie,0
2489372,GR1,domestic_league,2014,2. Matchday,9/1/14,653,0,2079,1,loss,-1
2532499,DK1,domestic_league,2014,26. Matchday,4/26/15,5724,3,190,0,win,3
2532497,DK1,domestic_league,2014,26. Matchday,4/26/15,5817,0,1053,3,loss,-3
2532496,DK1,domestic_league,2014,26. Matchday,4/25/15,2778,1,1177,0,win,1
2532500,DK1,domestic_league,2014,26. Matchday,4/24/15,3426,0,173,2,loss,-2
2532493,DK1,domestic_league,2014,25. Matchday,4/20/15,3426,0,5724,0,tie,0
2532524,DK1,domestic_league,2014,30. Matchday,5/21/15,206,3,2778,1,win,2
2532514,DK1,domestic_league,2014,29. Matchday,5/17/15,865,2,190,0,win,2
2532495,DK1,domestic_league,2014,25. Matchday,4/19/15,173,0,5817,0,tie,0
2532490,DK1,domestic_league,2014,25. Matchday,4/18/15,20100,2,1053,1,win,1
2532492,DK1,domestic_league,2014,25. Matchday,4/17/15,865,1,1177,0,win,1
2532488,DK1,domestic_league,2014,24. Matchday,4/12/15,5817,0,206,1,loss,-1
2532487,DK1,domestic_league,2014,24. Matchday,4/12/15,1053,1,865,2,loss,-1
2532489,DK1,domestic_league,2014,24. Matchday,4/13/15,1177,0,190,4,loss,-4
2532491,DK1,domestic_league,2014,25. Matchday,4/19/15,190,2,2778,0,win,2
2532494,DK1,domestic_league,2014,25. Matchday,4/19/15,206,0,5818,1,loss,-1
2532486,DK1,domestic_league,2014,24. Matchday,4/12/15,2778,1,173,2,loss,-1
2532485,DK1,domestic_league,2014,24. Matchday,4/11/15,5724,1,20100,1,tie,0
2532482,DK1,domestic_league,2014,23. Matchday,4/6/15,5724,1,1053,1,tie,0
2532483,DK1,domestic_league,2014,23. Matchday,4/7/15,173,1,20100,2,loss,-1
2532480,DK1,domestic_league,2014,23. Matchday,4/5/15,3426,3,865,3,tie,0
2532479,DK1,domestic_league,2014,23. Matchday,4/5/15,5818,2,1177,2,tie,0
2532525,DK1,domestic_league,2014,30. Matchday,5/20/15,173,1,1177,1,tie,0
