club_id,game_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
354,2224794,0,12,Harm van Veldhoven,601,2,5,Hein Vanhaezebrouck,Home,0
1411,2224780,1,10,Enzo Scifo,601,0,7,Hein Vanhaezebrouck,Home,1
3057,2224783,2,9,Ron Jans,58,1,2,John van den Brom,Home,1
58,2224790,2,2,John van den Brom,28643,0,15,Dirk Geeraerd,Home,1
172,2224784,0,15,Yannick Ferrera,2727,4,7,Ronny Van Geneugden,Home,0
566,2224782,2,8,Adrie Koster,157,2,6,Trond Sollied,Home,0
157,2224845,2,5,Trond Sollied,2282,2,1,Georges Leekens,Home,0
1184,2224848,2,3,Mario Been,354,1,8,Harm van Veldhoven,Home,1
58,2224847,3,2,John van den Brom,498,0,11,Peter Maes,Home,1
2282,2224804,2,1,Georges Leekens,498,3,8,Peter Maes,Home,0
204,2224837,1,13,Chris Janssens,3508,4,4,Francky Dury,Home,0
2727,2224796,4,6,Ronny Van Geneugden,2282,1,1,Georges Leekens,Home,1
3508,2224787,3,3,Francky Dury,520,1,16,Bob Peeters,Home,1
520,2224834,1,16,Bob Peeters,172,0,14,Yannick Ferrera,Home,1
2282,2224806,4,1,Georges Leekens,520,0,16,Bob Peeters,Home,1
566,2224854,2,5,Adrie Koster,601,1,9,Hein Vanhaezebrouck,Home,1
3057,2224769,2,10,Peter Balette,520,1,16,Bob Peeters,Home,1
2727,2224836,5,9,Ronny Van Geneugden,28643,2,15,Dirk Geeraerd,Home,1
498,2224851,2,8,Peter Maes,2727,2,13,Ronny Van Geneugden,Home,0
28643,2224849,1,15,Dirk Geeraerd,204,1,11,Chris Janssens,Home,0
3508,2224858,2,6,Francky Dury,58,3,2,John van den Brom,Home,0
3057,2224865,1,10,Ron Jans,157,2,4,Trond Sollied,Home,0
566,2224819,3,9,Adrie Koster,3057,2,7,Ron Jans,Home,1
1184,2224823,1,4,Mario Been,28643,1,15,Dirk Geeraerd,Home,0
157,2224820,0,5,Trond Sollied,354,2,12,Harm van Veldhoven,Home,0
172,2224860,1,14,Yannick Ferrera,1184,2,3,Mario Been,Home,0
520,2224810,0,16,Bob Peeters,498,1,8,Peter Maes,Home,0
2727,2224809,0,13,Ronny Van Geneugden,3508,1,3,Francky Dury,Home,0
204,2224813,1,11,Chris Janssens,58,1,2,John van den Brom,Home,0
354,2224852,3,7,Harm van Veldhoven,1411,0,12,Enzo Scifo,Home,1
601,2224815,1,6,Hein Vanhaezebrouck,2282,1,1,Georges Leekens,Home,0
2282,2224753,4,1,Georges Leekens,3057,2,4,Ron Jans,Home,1
58,2224746,2,2,John van den Brom,1184,2,5,Mario Been,Home,0
3508,2224747,2,6,Francky Dury,1411,4,8,Enzo Scifo,Home,0
1411,2224839,1,10,Enzo Scifo,566,0,7,Adrie Koster,Home,1
204,2224745,1,9,Chris Janssens,2727,1,12,Ronny Van Geneugden,Home,0
354,2224742,0,13,Harm van Veldhoven,566,2,11,Adrie Koster,Home,0
498,2224748,0,10,Peter Maes,601,1,7,Hein Vanhaezebrouck,Home,0
1411,2224752,1,12,Enzo Scifo,2282,3,1,Georges Leekens,Home,0
1184,2224756,2,6,Mario Been,3508,0,5,Francky Dury,Home,1
157,2224754,2,4,Trond Sollied,498,1,7,Peter Maes,Home,1
3057,2224758,3,3,Ron Jans,354,2,11,Harm van Veldhoven,Home,1
172,2224757,1,15,Yannick Ferrera,157,1,3,Trond Sollied,Home,0
520,2224750,0,16,Bob Peeters,204,3,9,Chris Janssens,Home,0
566,2224749,2,13,Adrie Koster,172,0,14,Yannick Ferrera,Home,1
2727,2224755,1,10,Ronny Van Geneugden,58,1,2,John van den Brom,Home,0
1411,2224812,2,10,Enzo Scifo,172,3,14,Yannick Ferrera,Home,0
2727,2224768,3,10,Ronny Van Geneugden,520,2,14,Bob Peeters,Home,1
172,2224763,2,13,Yannick Ferrera,3057,6,4,Ron Jans,Home,0
3508,2224766,2,3,Francky Dury,601,0,11,Hein Vanhaezebrouck,Home,1
58,2224761,2,2,John van den Brom,1411,1,8,Enzo Scifo,Home,1
204,2224760,1,12,Chris Janssens,1184,1,7,Mario Been,Home,0
498,2224762,2,5,Peter Maes,354,1,9,Harm van Veldhoven,Home,1
28643,2224744,2,14,Dirk Geeraerd,520,0,16,Bob Peeters,Home,1
2282,2224831,1,1,Georges Leekens,1184,1,4,Mario Been,Home,0
601,2224840,2,6,Hein Vanhaezebrouck,3057,1,12,Ron Jans,Home,1
1184,2224734,1,6,Mario Been,498,0,7,Peter Maes,Home,1
28643,2224792,2,14,Dirk Geeraerd,1411,2,10,Enzo Scifo,Home,0
1411,2224738,1,4,Enzo Scifo,204,1,12,Chris Janssens,Home,0
566,2224735,1,14,Adrie Koster,3508,1,3,Francky Dury,Home,0
354,2224737,3,5,Harm van Veldhoven,2282,3,2,Georges Leekens,Home,0
601,2224751,2,8,Hein Vanhaezebrouck,28643,1,15,Dirk Geeraerd,Home,1
601,2224741,0,10,Hein Vanhaezebrouck,172,1,11,Yannick Ferrera,Home,0
3057,2224743,3,8,Ron Jans,28643,1,16,Dirk Geeraerd,Home,1
2727,2229917,2,14,Ronny Van Geneugden,1184,2,9,Mario Been,Home,0
520,2229923,1,10,Bob Peeters,601,2,6,Hein Vanhaezebrouck,Home,0
58,2229921,1,7,John van den Brom,566,0,16,Adrie Koster,Home,1
28643,2229920,0,12,Dirk Geeraerd,354,0,5,Harm van Veldhoven,Home,0
172,2229922,0,15,Yannick Ferrera,2282,1,1,Georges Leekens,Home,0
204,2229926,0,13,Chris Janssens,3057,0,11,Ron Jans,Home,0
1184,2229918,3,8,Mario Been,520,3,7,Bob Peeters,Home,0
3057,2229913,0,11,Ron Jans,3508,1,6,Francky Dury,Home,0
2282,2229927,3,4,Georges Leekens,28643,1,14,Dirk Geeraerd,Home,1
566,2229924,2,13,Adrie Koster,498,4,3,Peter Maes,Home,0
3508,2229919,3,2,Francky Dury,157,1,8,Trond Sollied,Home,1
520,2224740,0,15,Bob Peeters,58,3,1,John van den Brom,Home,0
1411,2229914,5,1,Enzo Scifo,2727,2,16,Ronny Van Geneugden,Home,1
601,2229916,1,10,Hein Vanhaezebrouck,58,1,9,John van den Brom,Home,0
20945,2473696,3,-1,,7450,0,-1,,Home,1
7116,2240526,6,-1,,7527,2,-1,,Home,1
498,2229925,2,4,Peter Maes,1411,2,3,Enzo Scifo,Home,0
2282,2224739,3,1,Georges Leekens,566,1,15,Adrie Koster,Home,1
18216,2258361,2,-1,Jan van Deinsen,383,3,-1,Dick Advocaat,Home,0
200,2240553,0,-1,Jan Wouters,610,3,-1,Frank de Boer,Home,0
20780,2258366,6,-1,Jan Vlap,798,5,-1,Leon Vlemmings,Home,1
18154,2258368,0,-1,Bert Ruijsch,499,3,-1,Fred Rutten,Home,0
28643,2224759,0,16,Dirk Geeraerd,157,2,6,Trond Sollied,Home,0
20945,2504431,3,-1,Ronald Klinkenberg,19231,4,-1,André Wetzel,Home,0
19964,2258365,1,-1,Erik Assink,202,2,-1,Robert Maaskant,Home,0
34979,2258360,0,-1,Rowdy Bakker,19934,1,-1,Ole Tobiasen,Home,0
403,2240556,0,-1,Jurgen Streppel,1455,2,-1,Harry van den Ham,Home,0
12634,2258367,2,-1,Johan Groote,7474,1,-1,Robbert de Ruiter,Home,1
11055,2258370,0,-1,André Paus,1304,4,-1,Peter Bosz,Home,0
90988,3580923,9,-1,Jasper de Muijnck,500,8,-1,Eric Meijers,Home,1
7116,2258363,0,-1,Jan Zoutman,1268,2,-1,Maurice Steijn,Home,0
467,2240552,2,-1,Alex Pastoor,234,3,-1,Ronald Koeman,Home,0
9545,2258373,1,-1,Niek Oosterlee,724,0,-1,Hans de Koning,Home,1
157,2224736,1,9,Trond Sollied,2727,1,13,Ronny Van Geneugden,Home,0
10716,2258372,0,-1,Diederik Hiensch,1434,4,-1,Marcel Keizer,Home,0
192,2240554,0,-1,Ruud Brood,1269,1,-1,Art Langeler,Home,0
4793,2258354,2,-1,Hans Kraay Jr.,3892,4,-1,John Lammers,Home,0
10806,2258358,4,-1,,1283,5,-1,,Home,0
354,2229915,4,2,Harm van Veldhoven,172,2,12,Yannick Ferrera,Home,1
18673,2258355,1,-1,Ron van der Gracht,385,0,-1,Wil Boessen,Home,1
9547,2258357,4,-1,Martin de Groot,723,1,-1,Fred Grim,Home,1
2821,2258359,0,-1,Misha Salden,235,5,-1,Erwin Koeman,Home,0
1435,2240555,8,-1,Erik ten Hag,1426,7,-1,Ton Lokhoff,Home,1
2838,2258352,0,-1,Cor ten Bosch,404,1,-1,Jan Poortvliet,Home,0
6614,2258351,2,-1,John Blok,1228,1,-1,Anton Janssen,Home,1
90988,3580925,0,-1,Jasper de Muijnck,234,4,-1,Ronald Koeman,Home,0
12634,2266631,1,-1,Johan Groote,1090,4,-1,Gertjan Verbeek,Home,0
306,2266634,1,-1,Marco van Basten,18673,0,-1,Ron van der Gracht,Home,1
317,2266629,1,-1,Steve McClaren,404,2,-1,Jan Poortvliet,Home,0
20780,2266633,0,-1,Jan Vlap,610,2,-1,Frank de Boer,Home,0
1090,2240551,4,-1,Gertjan Verbeek,1284,1,-1,Gert Heerkes,Home,1
10804,2258353,2,-1,Philip den Haan,642,3,-1,Pieter Huistra,Home,0
132,2266644,5,-1,Adrie Bogers,19231,3,-1,André Wetzel,Home,1
383,2266635,3,-1,Dick Advocaat,19934,1,-1,Ole Tobiasen,Home,1
235,2266636,2,-1,Erwin Koeman,1269,4,-1,Art Langeler,Home,0
499,2266630,4,-1,Fred Rutten,33432,0,-1,Jan van Raalte,Home,1
